llm,example,direction,data_metric,CV_pct,MedianCV_pct,CI_width,mean_median_diff_pct,verdict,recommendation
anthropic,domain,m2m,model_eval_1,2.47,1.02563278276872,0.0325022822433445,0.47554340102651,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,m2m,model_eval_2,2.8018646602001,1.37870011882137,0.0328062323780617,0.617202496741573,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,m2m,text_eval_1,1.46385036244864,0.6643728511475,0.0158211444938865,0.226806565583195,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,m2m,text_eval_2,4.51344214029647,1.93282127018419,0.0353756382435347,1.13505299412825,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,t2t,model_eval_1,0.0,0,0,0,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,model_eval_2,1.1702778228589e-14,0,2.22044604925031E-16,1.11022302462516E-14,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,text_eval_1,1.11037058418917,0.54822645163734,0.0126884263147879,0.249961837992238,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,text_eval_2,4.02160588316385,1.1760674389422,0.0316142697473693,1.03800039147187,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,mad,m2m,model_eval_1,0.88,0,0.0113142073479606,0.163632596273177,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,m2m,model_eval_2,1.05940442311025,0,0.0147425671952481,0.22056440723738,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,m2m,text_eval_1,1.15544807373269,0.710146394554853,0.0136511628182512,0.164034454221677,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,m2m,text_eval_2,5.88739210745907,2.74343098192714,0.0561371184042994,1.20789876125665,Acceptable,"CV between 5% and 10%: outputs are usable, but note the higher variability."
